Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,word_count
2023-09-13,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-09-14,Credit card,,Account opening,,this is a sample complaint narrative about fees issues.,9
2023-09-15,Savings account,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-09-16,Credit card,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-09-17,Savings account,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-09-18,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-09-19,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-09-20,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-09-21,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-09-22,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-09-23,Credit card,,Account opening,,this is a sample complaint narrative about interest issues.,9
2023-09-24,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-09-25,Money transfers,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-09-26,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-09-27,Credit card,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-09-28,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-09-29,Savings account,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-09-30,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-10-01,Credit card,,Account opening,,this is a sample complaint narrative about billing issues.,9
2023-10-02,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-10-03,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-10-04,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-10-05,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues.,9
2023-10-06,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-10-07,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-10-08,Savings account,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-10-09,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-10-10,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-10-11,Personal loan,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-10-12,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-10-13,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2023-10-14,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-10-15,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-10-16,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-10-17,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-10-18,Money transfers,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-10-19,Personal loan,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-10-20,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-10-21,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-10-22,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-10-23,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-10-24,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-10-25,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-10-26,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-10-27,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-10-28,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-10-29,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-10-30,Savings account,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-10-31,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-11-01,Money transfers,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-11-02,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-11-03,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-11-04,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-11-05,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-11-06,Savings account,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-11-07,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues.,9
2023-11-08,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-11-09,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-11-10,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-11-11,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-11-12,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-11-13,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2023-11-14,Money transfers,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-11-15,Savings account,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-11-16,Personal loan,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-11-17,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-11-18,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-11-19,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-11-20,Personal loan,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-11-21,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-11-22,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-11-23,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-11-24,Credit card,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-11-25,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-11-26,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-11-27,Money transfers,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-11-28,Credit card,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-11-29,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-11-30,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-12-01,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-12-02,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-12-03,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-12-04,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-12-05,Personal loan,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-12-06,Personal loan,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-12-07,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-12-08,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-12-09,Personal loan,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-12-10,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-12-11,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-12-12,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-12-13,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-12-14,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-12-15,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-12-16,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-12-17,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-12-18,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-12-19,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-12-20,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-12-21,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-12-22,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-12-23,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-12-24,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-12-25,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-12-26,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues.,9
2023-12-27,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-12-28,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-12-29,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-12-30,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-12-31,Personal loan,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-01-01,Credit card,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-01-02,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues.,9
2024-01-03,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2024-01-04,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-01-05,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues.,9
2024-01-06,Credit card,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-01-07,Credit card,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2024-01-08,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-01-09,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-01-10,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues.,9
2024-01-11,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2024-01-12,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-01-13,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-01-14,Credit card,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-01-15,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2024-01-16,Credit card,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-01-17,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2024-01-18,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-01-19,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-01-20,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-01-21,Money transfers,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-01-22,Money transfers,,Account opening,,this is a sample complaint narrative about interest issues.,9
2024-01-23,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2024-01-24,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-01-25,Credit card,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-01-26,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2024-01-27,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-01-28,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-01-29,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-01-30,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2024-01-31,Savings account,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-02-01,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2024-02-02,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues.,9
2024-02-03,Money transfers,,Account opening,,this is a sample complaint narrative about service issues.,9
2024-02-04,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-02-05,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues.,9
2024-02-06,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues.,9
2024-02-07,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2024-02-08,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-02-09,Credit card,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-02-10,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-02-11,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2024-02-12,Credit card,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-02-13,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-02-14,Money transfers,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-02-15,Savings account,,Account opening,,this is a sample complaint narrative about interest issues.,9
2024-02-16,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues.,9
2024-02-17,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2024-02-18,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2024-02-19,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2024-02-20,Savings account,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-02-21,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-02-22,Credit card,,Account opening,,this is a sample complaint narrative about interest issues.,9
2024-02-23,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-02-24,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2024-02-25,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2024-02-26,Savings account,,Interest rate,,this is a sample complaint narrative about service issues.,9
2024-02-27,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2024-02-28,Savings account,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-02-29,Savings account,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2024-03-01,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2024-03-02,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2024-03-03,Savings account,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-03-04,Money transfers,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-03-05,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-03-06,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues.,9
2024-03-07,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2024-03-08,Savings account,,Account opening,,this is a sample complaint narrative about billing issues.,9
2024-03-09,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-03-10,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-03-11,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2024-03-12,Savings account,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-03-13,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2024-03-14,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2024-03-15,Savings account,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-03-16,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-03-17,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-03-18,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2024-03-19,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2024-03-20,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2024-03-21,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2024-03-22,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2024-03-23,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2024-03-24,Savings account,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-03-25,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-03-26,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2024-03-27,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-03-28,Credit card,,Billing dispute,,this is a sample complaint narrative about service issues.,9
2024-03-29,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-03-30,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-03-31,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2024-04-01,Savings account,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-04-02,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2024-04-03,Personal loan,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2024-04-04,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2024-04-05,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2024-04-06,Credit card,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
